,Player,Shots,Matches
163, Balwant Singh , 3 , 3 
164, Rohit Danu , 3 , 5 
165, Xisco Hernandez , 3 , 6 
166, Yondrembem Denechandra , 3 , 6 
167, Nim Dorjee , 3 , 7 
168, Sahil Sheikh , 3 , 7 
169, Wahengbam Luwang , 3 , 12 
170, Ankit Mukherjee , 3 , 12 
171, Mehtab Singh , 3 , 12 
172, Thoi Singh , 3 , 12 
173, Surchandra Singh , 3 , 13 
174, Mandar Rao Dessai , 3 , 17 
175, Deepak Tangri , 3 , 17 
176, Aitor Monroy , 3 , 19 
177, Nongdamba Naorem , 2 , 3 
178, Sourav Das , 2 , 4 
179, Yumnam Singh , 2 , 4 
180, Mohamed Ali , 2 , 5 
181, Sehnaj Singh , 2 , 6 
182, Rana Gharami , 2 , 7 
183, Milan Singh , 2 , 8 
184, Sahil Tavora , 2 , 10 
185, Hendry Antonay , 2 , 11 
186, Adil Khan , 2 , 12 
187, Ninthoinganba Meetei , 2 , 13 
188, Laldinliana Renthlei , 2 , 15 
189, Pratik Chaudhari , 2 , 15 
190, Seriton  Fernandes , 2 , 19 
191, Makan Chothe , 1 , 1 
192, Ayush Adhikari , 1 , 1 
193, George D'souza , 1 , 2 
194, Lalawmpuia , 1 , 2 
195, S Lalhrezuala , 1 , 2 
196, CK Vineeth , 1 , 2 
197, Sergio Cidoncha , 1 , 3 
198, Boris Singh , 1 , 3 
199, Abdul Hakku , 1 , 3 
200, Saurabh Meher , 1 , 3 
201, Regin Michael , 1 , 3 
202, Edmund Lalrindika , 1 , 3 
203, Abhishek Halder , 1 , 4 
204, Ritwik Das , 1 , 4 
205, Ajay Chhetri , 1 , 5 
206, Joyner Lourenco , 1 , 5 
207, Mohd Sajid Dhot , 1 , 6 
208, Laishram Singh , 1 , 6 
209, Raju Gaikwad , 1 , 7 
210, Aiban Dohling , 1 , 8 
211, Ajith Kumar , 1 , 8 
212, Jitendra Singh , 1 , 9 
213, Amarjit Singh , 1 , 9 
214, Dhanpal Ganesh , 1 , 10 
215, Narender Gahlot , 1 , 10 
216, Provat Lakra , 1 , 11 
217, Sandeep Singh , 1 , 14 
218, Chinglensana Singh , 1 , 18 
